Category	Meaning	Description	Date Disabled	ObjectId
Behavioral	Behavioral FLAG 1	Behavioral FLAG 1		
Capture	Capture FLAG 1	Capture FLAG 1		
Clinical	Clinical FLAG 1	Clinical FLAG 1		
Experimental	Experimental FLAG 1	Experimental FLAG 1		
Genetics	Genetics FLAG 1	Genetics FLAG 1		
Hold	Hold FLAG 1	Hold FLAG 1		
Reproduction	Reproduction FLAG 1	Reproduction FLAG 1		
Socially housed	Socially housed FLAG 1	Socially housed FLAG 1		
Status	Status FLAG 1	Status FLAG 1		
Training	Training FLAG 1	Training FLAG 1		
