code	meaning
AAI	Asiatic Animal Imports
BIOQUAL	Bioqual, Incorporated
BRANDEIS	Brandeis University
CA-DPH	Calif Dept Public Health Facilities
CA-DOH	California State Department of Health
CPRC	Carribean Primate Center
CWRU	Case Western Reserve University
UCD-CNS	Center for Neuroscience, UCD
CR-KL	Charles River - Key Lois
CRL	Charles River Labs
CRRP	Charles River Research Primates Inc
BROOKFIELD	Chicago Zoological Park (Brookfield Zoo)
CHILDRENS	Childrens Hospital
CHIMR	Christ Hospital Inst. for Medical Res.
CSU	Colorado State University
CORNELL	Cornell University
COULSTON	Coulston Foundation
COVANCE	Covance Research Products, Inc.
PRIMGEN	CSP-Primgen
CUTTER	Cutter Lab
DMT	Del Mundo Trading
EPZ	El Paso Zoological Gardens
ENVIGO	Envigo
HAHNEMANN	Hahnemann University
HL	Hazelton Laboratories
HLA	Hazelton Laboratories America Inc.
UNK	Institution Unknown
ISU-VDL	Iowa State Univ, Vet Diagnostic Lab
JVL	Jan Vacek Limited
JHMC	Jewish Hospital & Medical Center
JRI	Johnson Research Institute
KNLPC	Kunming National Laboratory Primate Ctr.
LABS	Laboratory Animal Breeders and Services
LABSINDO	Labsindo
LEMSIP	LEMSIP, New York Medical Center, RDI
LAIR	Letterman Army Res Inst-Presidio
LB	Litton Bionetics
LLU	Loma Linda University
MSU-MI	Michigan State University
MSU-MT	Montana State University
MPI	MPI Research
NASA-ARC	NASA-Ames Research Center
NAMRL	Naval Aerospace Medical Research Lab
NEPRC	New England Primate Research Center
NIHAC	NIH Animal Center
ORPRC	Oregon Regional Primate Research Center
PARC-SAF	Parc Safari African
PPC	Perrine Primate Center
PPP	Peruvian Primatological Project
PET-FARM	Pet Farm
PRIMLAB	Primate Laboratory
PPI	Primate Products, Incorporated
PRIVATE	Private Party
RIEPT	Res. Inst. of Exp. Pathology & Therapy
SALK	Salk Institute
SFGH	San Francisco General Hospital
SNBL	Shin Nippon Biomedical Laboratories
SICONBREC	Siconbrec
SBM	Sierra Biomedical
SKB	Smith, Kline, Beecham
SIU	Southern Illinois University
SIU-SOM	Southern Illinois University Med School
SORI	Southern Research Institute
SFRE	Southwest Foundation for Res. & Educ.
SWRF	Southwest Research Foundation
SWRI	Southwest Research Institute
SOPF	Stanford Outdoor Primate Facility
SRI	Stanford Research Institute
SUNY-SB	State Univ of New York at Stony Brook
SXZ	Suzhou Xishan Zhongke Lab Animal Co.
SYNTEX	Syntex (USA) Incorporated
TARPON	Tarpon Zoo
TTUHSC	Texas Tech Health Science Center
BROOKS-AFB	Texas, Brooks Air Force Base
TPI	The Parkinson's Institute
TNPRC	Tulane (Delta) Regional Primate Res Ctr
UCB	UC Berkeley
UCLA	UC Los Angeles
UCR	UC Riverside
UCSD	UC San Diego
UCSF	UC San Francisco Vivarium
UC-ARS	Univ of Calif, Animal Resources Service
GPC	Univ of Gottingen Primate Center
UH-RAF	Univ of Hawaii, Research Animal Facility
OUHSC	Univ of Oklahoma Health Sci. Center
UTHSC-H	Univ of Texas, Health Sci Ctr, Houston
UCHSC	University of Colorado Health Sciences
UCMC	University of Colorado Medical Center
UIC	University of Illinois at Chicago
UNV	University of Nevada
UNM	University of New Mexico
UPR	University of Puerto Rico
UTSCC	University of Texas System Cancer Center
UNK-CN	Unknown Institution, China
VBS	Valley Biosystems
WFSM	Wake Forest School of Medicine
WANPRC	Washington Regional Primate Research Ctr
WHMC	Wilford Hall Medical Center
WRPRC	Wisconsin Regional Primate Research Ctr
WAI	Woodward Asiatic Imports
WWP	World Wide Primates, Inc.
YPRC	Yemassee Primate Research Center
